Industry,pct change
Medical Distribution,78.19575060954372
Internet Retail,66.64576802507837
Airports & Air Services,60.231316725978644
Home Improvement Retail,50.91695845004669
Packaging & Containers,47.73888308371067
Real Estate-Diversified,45.69656241922977
Internet Content & Information,44.09793435067538
Leisure,41.22990740532295
Specialty Retail,37.96427352308081
Marine Shipping,37.89237668161435
Electronic Gaming & Multimedia,37.69799366420274
Discount Stores,36.85922681753242
Railroads,33.691164327002475
Mortgage Finance,32.79588679536099
Security & Protection Services,26.936778956848997
Farm & Heavy Construction Machinery,26.639850608799684
Consumer Electronics,23.948096862161854
Chemicals,23.69015329648479
Aluminum,23.37997897901038
Beverages-Non-Alcoholic,23.04800347326435
Software-Application,22.825966893128577
Semiconductor Equipment & Materials,21.28639238688449
Information Technology Services,21.183617874857898
Lumber & Wood Production,19.649210073053393
Trucking,19.635184123640144
Infrastructure Operations,19.325096809883824
Recreational Vehicles,19.308175857199036
Health Information Services,19.260816409405642
Auto & Truck Dealerships,18.943467475353117
REIT-Industrial,18.928006132477552
Medical Instruments & Supplies,18.537098829618124
Medical Care Facilities,18.202340781023278
Capital Markets,17.86421443901843
Pharmaceutical Retailers,17.775603392041745
Integrated Freight & Logistics,15.975812882562566
Building Products & Equipment,15.574241124736085
Rental & Leasing Services,15.565217391304351
Asset Management,15.464877422553906
Specialty Chemicals,15.11197002182189
Specialty Industrial Machinery,14.766653741267437
Auto Parts,13.868692442248374
Luxury Goods,13.842614286991415
Engineering & Construction,13.82216711312795
Semiconductors,13.464194219798475
Biotechnology,13.018964172842413
Diagnostics & Research,12.829857113592347
Scientific & Technical Instruments,12.706195758133706
Food Distribution,12.305160747910534
Residential Construction,11.298542445346419
Business Equipment & Supplies,11.253538037777432
Software-Infrastructure,11.085760235907543
Packaged Foods,10.896385468620045
Credit Services,10.115343365578315
Healthcare Plans,10.072472669205261
Electronic Components,9.987907590752288
Steel,9.717214433256794
Electrical Equipment & Parts,9.370926522765691
Other Industrial Metals & Mining,8.67810292633704
Real Estate Services,7.590029348475881
Telecom Services,6.9628604684386595
Apparel Manufacturing,5.681738295458342
Pollution & Treatment Controls,4.739336492891
Insurance-Life,4.6914471309996415
Building Materials,4.635584137191846
Paper & Paper Products,4.0835482801142975
Metal Fabrication,3.9633443235301407
Broadcasting,3.043012187942015
Resorts & Casinos,2.4000000000000004
Communication Equipment,2.2265911237005436
Consulting Services,1.1698548628333256
Household & Personal Products,-0.02778023725659473
Tools & Accessories,-0.048123195380163665
Staffing & Employment Services,-0.14947512176253355
Oil & Gas Drilling,-1.488245745380046
"Furnishings, Fixtures & Appliances",-1.7090899969589153
Coking Coal,-2.3602632622665745
Tobacco,-3.3550624756814695
Insurance-Specialty,-4.190367497050292
Utilities-Regulated Water,-5.204808994089112
Footwear & Accessories,-5.263940031192136
Aerospace & Defense,-5.523111710504761
Oil & Gas E&P,-5.697544689793738
REIT-Residential,-5.8229970637056825
Textile Manufacturing,-6.015025226292716
Education & Training Services,-6.320482502450618
Personal Services,-6.540251787087776
Industrial Distribution,-6.675361235358942
Farm Products,-7.949969675170269
Restaurants,-10.300972495013971
Computer Hardware,-10.674758845490558
Banks-Regional,-12.219160462401742
Oil & Gas Midstream,-13.494809688581302
Insurance-Reinsurance,-14.031413612565444
Thermal Coal,-14.507042253521144
Utilities-Regulated Gas,-14.538607300872794
Agricultural Inputs,-15.37986411365039
Electronics & Computer Distribution,-15.458154839572224
Drug Manufacturers-Specialty & Generic,-16.83911493757949
Advertising Agencies,-16.922716455685276
Medical Devices,-18.496315028650752
Insurance-Property & Casualty,-19.304583478315404
REIT-Diversified,-19.71242112253288
Insurance Brokers,-20.427161870975954
Airlines,-23.15803972533419
REIT-Hotel & Motel,-24.18873606770427
Oil & Gas Equipment & Services,-25.461122424460314
Specialty Business Services,-28.6820447953819
Utilities-Diversified,-28.920358934884796
Apparel Retail,-29.185546339831998
Conglomerates,-29.7635605006954
REIT-Specialty,-31.426118783047794
REIT-Office,-33.36736859261765
REIT-Retail,-33.86350036159329
REIT-Healthcare Facilities,-37.584911410817256
Waste Management,-47.97260273972602
Department Stores,-48.51024208566107
Oil & Gas Refining & Marketing,-63.03214657394601
Publishing,-67.18402176579359
REIT-Mortgage,-90.67723013513731
Entertainment,-132.4561403508772
